interval_id,n_points,scratch_mean_theta0,scratch_mean_theta1,scratch_peak_theta0,scratch_peak_theta1,sklearn_mean_theta0,sklearn_mean_theta1,sklearn_peak_theta0,sklearn_peak_theta1,scratch_mean_rmse,scratch_mean_mae,scratch_mean_r2,sklearn_mean_rmse,sklearn_mean_mae,sklearn_mean_r2,scratch_peak_rmse,scratch_peak_mae,scratch_peak_r2,sklearn_peak_rmse,sklearn_peak_mae,sklearn_peak_r2
11,10,-7.055245592074823,0.0666766568979144,-10.357814786773677,0.095610652973043,-7.055245592074823,0.0666766568979144,-10.357814786773677,0.095610652973043,0.7089474204465982,0.5301048521043921,0.06801175230022705,0.7089474204465982,0.5301048521043921,0.06801175230022705,1.0572681290467105,0.8825577251843917,0.06320354992757382,1.0572681290467105,0.8825577251843917,0.06320354992757382
12,10,1.9217293070987655,-0.0168548023796104,-4.215398422820616,0.0360832347700592,1.921729307098769,-0.0168548023796104,-4.215398422820616,0.0360832347700592,1.0768294812139347,0.8507279545045705,0.002017114251444685,1.0768294812139347,0.8507279545045712,0.002017114251444907,0.6206037118175759,0.4864607421763867,0.027132501384677488,0.6206037118175759,0.4864607421763867,0.027132501384677488
13,10,23.56809886176357,-0.1869639154018803,20.512937152125847,-0.167808894941075,23.56809886176357,-0.1869639154018803,20.51293715212585,-0.167808894941075,1.06889719580276,0.8685398610105042,0.20153613617672006,1.06889719580276,0.8685398610105042,0.20153613617672006,0.6721463038407797,0.47198343926798714,0.33959775724670715,0.6721463038407797,0.4719834392679864,0.33959775724670715
14,10,-2.187599927755279,0.0142353416372079,-10.595312516478018,0.0775429452005938,-2.1875999277552824,0.0142353416372079,-10.595312516478018,0.0775429452005938,0.8341040555754493,0.7339194419769935,0.002397214658287572,0.8341040555754494,0.7339194419769935,0.00239721465828735,0.8397293877033369,0.7631525521175704,0.06572556009813779,0.8397293877033369,0.7631525521175704,0.06572556009813779
15,10,-47.02546797096538,0.3149990476579776,-21.80113631736652,0.1452036952157529,-47.02546797096539,0.3149990476579776,-21.80113631736652,0.1452036952157529,2.347610772307595,1.8869054679835144,0.12932340038225498,2.347610772307595,1.886905467983516,0.12932340038225498,1.2022646961517893,1.0752044797484224,0.10741361985268094,1.2022646961517893,1.0752044797484224,0.10741361985268094
16,10,15.991617140770312,-0.1012650387753249,-3.562196940625304,0.024850461340334,15.991617140770318,-0.101265038775325,-3.5621969406253013,0.024850461340334,0.8351576876420835,0.6525721837507384,0.1081725093171928,0.8351576876420842,0.6525721837507349,0.10817250931719158,0.633799822325768,0.545334858283482,0.012524060481220012,0.633799822325768,0.5453348582834826,0.012524060481220012
17,10,6.3460134102036365,-0.0359497477437759,6.098584154360449,-0.035542621456047,6.346013410203632,-0.0359497477437759,6.098584154360449,-0.035542621456047,0.8500820733069598,0.7704061471421482,0.014539951235967075,0.8500820733069598,0.7704061471421483,0.014539951235967075,0.6565508433522853,0.5618492636937449,0.02360699952128642,0.6565508433522853,0.5618492636937449,0.02360699952128642
18,10,-12.71074355615324,0.0706105887746362,-15.181637003915016,0.0839317580204172,-12.710743556153242,0.0706105887746362,-15.181637003915023,0.0839317580204173,0.9589531560227902,0.7332486931267657,0.04281488340134498,0.9589531560227902,0.7332486931267657,0.04281488340134498,0.8522677709646949,0.7061197400968102,0.07408425631601667,0.8522677709646945,0.706119740096812,0.07408425631601723
19,10,0.0482461727664231,0.0005523217332122,16.52295625132818,-0.0862085691200778,0.0482461727664193,0.0005523217332122,16.522956251328182,-0.0862085691200778,0.6456687476547054,0.5520266818534186,6.036928891117732e-06,0.6456687476547054,0.5520266818534185,6.036928891117732e-06,0.7871044269811905,0.6991160196265159,0.0900545140278155,0.7871044269811905,0.6991160196265167,0.0900545140278155
20,10,8.129635652629199,-0.0410693450802745,-0.5674138030543815,0.0026300195107806,8.129635652629199,-0.0410693450802745,-0.567413803054379,0.0026300195107806,0.8348815283921273,0.6353423435833346,0.019572896825240882,0.8348815283921273,0.6353423435833346,0.019572896825240882,1.0403329804415122,0.8453763213033143,5.272350303664464e-05,1.0403329804415122,0.8453763213033151,5.272350303664464e-05
21,10,30.16162618152292,-0.1447185431599921,14.437459756356958,-0.0687766834864948,30.161626181522923,-0.1447185431599922,14.43745975635696,-0.0687766834864948,0.44159407121785743,0.35327601207228065,0.46978999475891126,0.44159407121785743,0.35327601207228065,0.46978999475891114,0.6937904365159743,0.5887123098023592,0.07499365196480134,0.6937904365159743,0.5887123098023596,0.07499365196480146
22,10,13.940752587528015,-0.0665768103044584,-38.49299053868004,0.1776930604629267,13.940752587528014,-0.0665768103044584,-38.49299053868005,0.1776930604629268,0.8012798580377384,0.6951569177325715,0.05388588113328607,0.8012798580377384,0.6951569177325715,0.05388588113328607,0.5470765045479368,0.4677589030185854,0.46534347458109937,0.5470765045479342,0.4677589030185847,0.46534347458110414
23,10,-16.911920391138036,0.0749500350572093,-59.69847901185668,0.2656447687373153,-16.911920391138032,0.0749500350572093,-59.69847901185671,0.2656447687373154,0.948925180448711,0.7691196100784152,0.048948321441303566,0.948925180448711,0.7691196100784146,0.048948321441303566,0.9537188933737566,0.7819917520434729,0.39026348376287945,0.9537188933737563,0.7819917520434744,0.39026348376288
24,10,-7.975866242639062,0.0339940046084032,2.9678606503594205,-0.0135903743479823,-7.975866242639065,0.0339940046084032,2.9678606503594227,-0.0135903743479823,0.9329688430072156,0.7281876465917289,0.010834115346393225,0.9329688430072155,0.7281876465917289,0.010834115346393336,1.2406332082461489,0.9020535930469192,0.0009890090151579711,1.2406332082461489,0.9020535930469192,0.0009890090151580821
25,10,-24.407247815714,0.0990613118217493,-0.4267058069676734,0.0015506186073259,-24.407247815713998,0.0990613118217493,-0.4267058069676737,0.0015506186073259,0.9702280338482191,0.7860299655184674,0.07919237489436459,0.970228033848219,0.7860299655184674,0.0791923748943647,1.1663309580744579,1.0004880948149437,1.4581895829479663e-05,1.1663309580744579,1.0004880948149437,1.4581895829479663e-05
26,10,-12.63286053679452,0.0489994869093999,-1.8668926618221104,0.0068094645811485,-12.632860536794524,0.0489994869093999,-1.866892661822112,0.0068094645811485,0.9152123824938709,0.795038319343527,0.02310162999043741,0.9152123824938709,0.795038319343527,0.02310162999043741,0.9257800288924425,0.7820185522340315,0.0004461392823181809,0.9257800288924426,0.7820185522340313,0.00044613928231795885
27,10,43.5511917741099,-0.1641350934726206,16.69671565865695,-0.0640730204702831,43.55119177410991,-0.1641350934726206,16.696715658656956,-0.0640730204702831,0.7309572279670512,0.6357108043742213,0.2937755564063055,0.7309572279670513,0.6357108043742199,0.29377555640630537,0.705357361941914,0.5143796668664212,0.06373592543167328,0.7053573619419139,0.5143796668664227,0.0637359254316735
28,10,-20.1135898484676,0.0728347789731486,-7.532893182778498,0.0281506302271934,-20.113589848467598,0.0728347789731486,-7.532893182778496,0.0281506302271934,0.5150172858638392,0.45749020858076683,0.1416320226923038,0.5150172858638392,0.45749020858076755,0.1416320226923038,1.1282568283960306,0.9324342946196784,0.005109630301077361,1.1282568283960304,0.9324342946196789,0.005109630301077472
